dt_s,pos_x,pos_y,pos_z,roll,pitch,yaw,tgt_x,tgt_y,tgt_z,tgt_yaw,err_x_world,err_y_world,err_z,pos_error_3d
0.098423,0.249,0.0122,2.8262,0.00191,0.0023,-1.2792,1.0,1.0,3.0,-1.5,0.751,0.9878,0.1738,1.253
0.1,0.2512,0.0102,2.8477,-0.04743,0.01891,-1.28858,1.0,1.0,3.0,-1.5,0.7488,0.9898,0.1523,1.2504
0.096905,0.2572,0.0139,2.8651,-0.1277,0.07331,-1.29857,1.0,1.0,3.0,-1.5,0.7428,0.9861,0.1349,1.2419
0.1,0.2689,0.0264,2.8789,-0.12795,0.11455,-1.31493,1.0,1.0,3.0,-1.5,0.7311,0.9736,0.1211,1.2236
0.097657,0.284,0.0448,2.8884,-0.13617,0.09383,-1.32027,1.0,1.0,3.0,-1.5,0.716,0.9552,0.1116,1.199
0.1,0.3126,0.0818,2.8972,-0.13546,0.10977,-1.33299,1.0,1.0,3.0,-1.5,0.6874,0.9182,0.1028,1.1516
0.095843,0.3427,0.1208,2.9008,-0.11419,0.12956,-1.34569,1.0,1.0,3.0,-1.5,0.6573,0.8792,0.0992,1.1022
0.1,0.3877,0.1788,2.9026,-0.125,0.08918,-1.34754,1.0,1.0,3.0,-1.5,0.6123,0.8212,0.0974,1.029
0.1,0.4354,0.2418,2.9008,-0.12292,0.09792,-1.36233,1.0,1.0,3.0,-1.5,0.5646,0.7582,0.0992,0.9505
0.1,0.4908,0.3835,2.8562,-0.11253,0.07996,-1.36849,1.0,1.0,3.0,-1.5,0.5092,0.6165,0.1438,0.8125
0.1,0.5468,0.4561,2.8517,-0.10979,0.08447,-1.37748,1.0,1.0,3.0,-1.5,0.4532,0.5439,0.1483,0.7233
0.1,0.6231,0.5003,2.8796,-0.07964,0.04368,-1.37834,1.0,1.0,3.0,-1.5,0.3769,0.4997,0.1204,0.6374
0.098058,0.6975,0.5947,2.8792,0.00171,-0.01699,-1.38874,1.0,1.0,3.0,-1.5,0.3025,0.4053,0.1208,0.52
0.1,0.7556,0.6562,2.8876,-0.01961,-0.04541,-1.40317,1.0,1.0,3.0,-1.5,0.2444,0.3438,0.1124,0.4365
0.094321,0.9113,0.6324,2.9932,0.04673,-0.14253,-1.40058,1.0,1.0,3.0,-1.5,0.0887,0.3676,0.0068,0.3782
0.081334,1.0429,0.628,3.0597,0.09396,-0.15826,-1.40949,1.0,1.0,3.0,-1.5,-0.0429,0.372,-0.0597,0.3792
0.1,1.1237,0.6545,3.0954,0.04538,-0.15128,-1.42649,1.0,1.0,3.0,-1.5,-0.1237,0.3455,-0.0954,0.3792
0.097769,0.9055,0.9958,2.8403,-0.04536,-0.13774,-1.4233,1.0,1.0,3.0,-1.5,0.0945,0.0042,0.1597,0.1856
0.099767,0.9055,0.9958,2.8403,-0.04536,-0.13774,-1.4233,-1.0,-1.0,3.0,-1.5,-1.9055,-1.9958,0.1597,2.764
0.1,0.9055,0.9958,2.8403,-0.04536,-0.13774,-1.4233,-1.0,-1.0,3.0,-1.5,-1.9055,-1.9958,0.1597,2.764
0.097842,0.9126,1.0847,2.9237,-0.6654,0.62644,-0.61587,-1.0,-1.0,3.0,-1.5,-1.9126,-2.0847,0.0763,2.8302
0.1,0.871,1.1289,2.8811,0.14706,-0.04506,-1.387,-1.0,-1.0,3.0,-1.5,-1.871,-2.1289,0.1189,2.8367
