sample_index,controller_time,wind_enabled,x,y,z,roll,pitch,yaw,target_x,target_y,target_z,target_yaw,error_x_world,error_y_world,error_z,error_forward,error_left,yaw_error,vx_setpoint,vy_setpoint,vz_setpoint,yaw_rate_setpoint
82,1777301448.4682052,0,0.9431023709795653,0.8194602292344727,2.5892926181167732,0.10675299159270314,-0.13458158158898317,-1.3280919109692404,-1.0,-1.0,3.0,-1.5,-1.9431023709795654,-1.8194602292344726,0.41070738188322675,1.299151537985744,-2.3234215354131598,-0.1719080890307596,0.45470303829501035,-0.8,0.2669597982240974,-0.1719080890307596
83,1777301448.5689492,0,0.8581929098062593,0.7337799273279979,2.6187124184051225,0.10259156612870854,-0.13061300655544913,-1.3293662576389966,-1.0,-1.0,3.0,-1.5,-1.8581929098062593,-1.733779927327998,0.3812875815948775,1.239217133681716,-2.218831814728057,-0.17063374236100337,0.4337259967886006,-0.7765911351548198,0.2478369280366704,-0.17063374236100337
84,1777301448.6869125,0,0.7882386908037046,0.6265979511027527,2.6646052329156062,0.09315982512164556,-0.1401945024750002,-1.3331542197233697,-1.0,-1.0,3.0,-1.5,-1.7882386908037047,-1.6265979511027528,0.33539476708439375,1.1599114050927277,-2.1209017049724004,-0.16684578027663033,0.40596899178245466,-0.7423155967403401,0.21800659860485594,-0.16684578027663033
85,1777301448.7738802,0,0.7123768027183663,0.5817165257404835,2.6677167171025595,0.10073423910835919,-0.13516932657883268,-1.3358518451079504,-1.0,-1.0,3.0,-1.5,-1.7123768027183663,-1.5817165257404835,0.33228328289744047,1.1396399785676603,-2.0335393287415964,-0.1641481548920496,0.3988739924986811,-0.7117387650595587,0.21598413388333632,-0.1641481548920496
86,1777301448.8665118,0,-0.7455119035615455,0.9614996536729169,0.1376184506040857,-3.1340864285204164,0.05661641825513725,1.533336789047336,-1.0,-1.0,3.0,-1.5,-0.2544880964384545,-1.961499653672917,2.862381549395914,-1.96965438692477,0.1808498787830663,-3.033336789047336,-0.6893790354236695,0.06329745757407321,0.6,-1.2
87,1777301448.9689074,0,-0.7615916230879257,0.9594712023015222,0.12077625525864005,-3.1409891037628377,0.03121291335232077,1.5285046254564267,-1.0,-1.0,3.0,-1.5,-0.23840837691207428,-1.9594712023015222,2.87922374474136,-1.9677988106397806,0.15535053162280427,-3.028504625456427,-0.6887295837239231,0.05437268606798149,0.6,-1.2
88,1777301449.0701756,0,0.39010653277613977,0.37541294146862614,2.6857565772050735,2.224843812623578,0.035449478963983115,-1.1926667117098786,-1.0,-1.0,3.0,-1.5,-1.3901065327761397,-1.375412941468626,0.31424342279492645,0.765045828065296,-1.799683809169312,-0.3073332882901214,0.2677660398228536,-0.6298893332092591,0.2042582248167022,-0.3073332882901214
89,1777301449.1885135,0,0.28910300192401056,0.36859711042635285,2.664406483777548,-0.04926483414724374,-0.13595426710484654,-1.559414347296144,-1.0,-1.0,3.0,-1.5,-1.2891030019240106,-1.3685971104263528,0.33559351622245215,1.3538362337385539,-1.3045965094439989,0.05941434729614392,0.4738426818084938,-0.4566087783053996,0.2181357855445939,0.05941434729614392
90,1777301449.2930079,0,0.18745137667381284,0.3239101650100055,2.67910661235902,-0.11460282797052539,-0.06247014670150617,-1.606150202495056,-1.0,-1.0,3.0,-1.5,-1.1874513766738128,-1.3239101650100056,0.3208933876409801,1.3650551394235493,-1.1399137525772327,0.10615020249505602,0.4777692987982422,-0.3989698134020314,0.20858070196663706,0.10615020249505602
91,1777301449.385865,0,0.05960502028312507,0.2782273697053321,2.699493899176672,-0.024090444525845633,-0.07313021239433028,-1.6073783310281158,-1.0,-1.0,3.0,-1.5,-1.059605020283125,-1.2782273697053321,0.30050610082332785,1.3161260059605795,-1.0121464044827047,0.10737833102811578,0.46064410208620277,-0.3542512415689466,0.1953289655351631,0.10737833102811578
92,1777301449.510575,0,-0.054505364370994354,0.2439859063959997,2.7131515132681385,0.0755731815396885,-0.07965680175439609,-1.600321185145769,-1.0,-1.0,3.0,-1.5,-0.9454946356290056,-1.2439859063959997,0.2868484867318615,1.271355283402991,-0.9083593918039287,0.10032118514576906,0.44497434919104684,-0.31792578713137504,0.18645151637570997,0.10032118514576906
93,1777301449.568262,0,-0.1664868327189304,0.20806952282816463,2.723365801980483,0.1330550182585461,-0.05727175848339947,-1.591591479267299,-1.0,-1.0,3.0,-1.5,-0.8335131672810696,-1.2080695228281646,0.27663419801951683,1.2251401086192082,-0.8082127728944306,0.09159147926729894,0.42879903801672287,-0.2828744705130507,0.17981222871268596,0.09159147926729894
94,1777301449.6691883,0,-0.27612511475709706,0.1694176481197041,2.729710372936251,0.13222463398338172,-0.054239001008318855,-1.5920057176101898,-1.0,-1.0,3.0,-1.5,-0.7238748852429029,-1.169417648119704,0.2702896270637489,1.1845064278914799,-0.6989113015991457,0.09200571761018983,0.41457724976201793,-0.24461895555970098,0.1756882575914368,0.09200571761018983
95,1777301449.7715626,0,-0.38317245417409573,0.12189029601766817,2.7347165362121983,0.1174919383862876,-0.056320229406185696,-1.5883826560889989,-1.0,-1.0,3.0,-1.5,-0.6168275458259043,-1.1218902960176682,0.26528346378780165,1.1325639851314913,-0.5970032472033086,0.08838265608899887,0.39639739479602193,-0.208951136521158,0.1724342514620711,0.08838265608899887
96,1777301449.8679793,0,-0.48553095450073075,0.06995166443298659,2.7377046914118224,0.11608741956461717,-0.03319089307173847,-1.5895952953881465,-1.0,-1.0,3.0,-1.5,-0.5144690454992693,-1.0699516644329865,0.2622953085881776,1.0794335266749526,-0.49426533814331153,0.08959529538814648,0.3778017343362334,-0.17299286835015903,0.17049195058231545,0.08959529538814648
97,1777301449.969347,0,-0.5902060432551488,-0.0019143139486068814,2.7512045659549345,0.10920995071972688,0.016169909458985974,-1.594074940378776,-1.0,-1.0,3.0,-1.5,-0.4097939567448512,-0.9980856860513931,0.24879543404506554,1.007353843646614,-0.3864509766783801,0.09407494037877595,0.3525738452763149,-0.13525784183743303,0.16171703212929261,0.09407494037877595
98,1777301450.0732036,0,-0.6816487413568986,-0.06643990392038639,2.756079260954627,0.0913882915505215,0.022192558857862074,-1.5916311946558477,-1.0,-1.0,3.0,-1.5,-0.31835125864310143,-0.9335600960796137,0.24392073904537304,0.9399898045992154,-0.29883297027161015,0.09163119465584768,0.32899643160972536,-0.10459153959506355,0.15854848037949248,0.09163119465584768
99,1777301450.1728125,0,-0.7622555304659752,-0.13229131108051834,2.757873095955047,0.0945108813239368,0.01218646135495193,-1.584346752652028,-1.0,-1.0,3.0,-1.5,-0.23774446953402484,-0.8677086889194816,0.24212690404495296,0.8708504686106822,-0.22596518081539851,0.08434675265202807,0.30479766401373876,-0.07908781328538947,0.15738248762921944,0.08434675265202807
100,1777301450.270801,0,-0.8348593140292031,-0.2003270330770841,2.7596923371139837,0.08161847346905304,0.027472806040866823,-1.5884531161828659,-1.0,-1.0,3.0,-1.5,-0.1651406859707969,-0.7996729669229159,0.24030766288601635,0.8024640190601631,-0.1509960208217906,0.08845311618286589,0.28086240667105705,-0.052848607287626706,0.15619998087591064,0.08845311618286589
101,1777301450.3693867,0,-0.8991697646926439,-0.26940679550669877,2.7621093932560608,0.07027663049390202,0.04298031475535623,-1.5914247011448988,-1.0,-1.0,3.0,-1.5,-0.10083023530735613,-0.7305932044933012,0.23789060674393925,0.7325175817333895,-0.08573890164560379,0.09142470114489876,0.25638115360668634,-0.030008615575961323,0.1546288943835605,0.09142470114489876
102,1777301450.4697452,0,-0.9557452840927578,-0.33934935753256656,2.765390230520233,0.05248155861981068,0.033384440572853655,-1.5855719813819127,-1.0,-1.0,3.0,-1.5,-0.04425471590724217,-0.6606506424674334,0.23460976947976686,0.6612323957691376,-0.03448869464143162,0.08557198138191269,0.23143133851919814,-0.012071043124501067,0.15249635016184845,0.08557198138191269
103,1777301450.5742254,0,-0.9997853238595792,-0.40083399535186365,2.7689607624133883,0.03452782411769259,0.0219080148164171,-1.5840030590147625,-1.0,-1.0,3.0,-1.5,-0.00021467614042081085,-0.5991660046481364,0.2310392375866117,0.5991165878945268,0.0,0.08400305901476246,0.20969080576308438,0.0,0.15017550443129762,0.08400305901476246
104,1777301450.670482,0,-1.0162098652822744,-0.42609347392356844,2.769847074771562,0.03850249115008623,0.045044772632915536,-1.5825718862047256,-1.0,-1.0,3.0,-1.5,0.016209865282274416,-0.5739065260764316,0.23015292522843822,0.5736758606861843,0.0,0.08257188620472555,0.20078655124016448,0.0,0.14959940139848485,0.08257188620472555
105,1777301450.7818186,0,-1.0832010687840805,-0.5436528126685808,2.7803778939777732,-0.00593842580349712,0.046269074406024686,-1.5628926182826315,-1.0,-1.0,3.0,-1.5,0.08320106878408051,-0.4563471873314192,0.21962210602222676,0.45699052386785627,0.0795916724732747,0.06289261828263149,0.15994668335374967,0.027857085365646142,0.1427543689144474,0.06289261828263149
106,1777301450.8748715,0,-1.109249407728589,-0.5986354657234365,2.7875752249607206,-0.0033544690446711905,0.020661188064219304,-1.5667991133623136,-1.0,-1.0,3.0,-1.5,0.10924940772858904,-0.4013645342765635,0.21242477503927937,0.40179801987389974,0.10764419951629288,0.06679911336231359,0.1406293069558649,0.0376754698307025,0.1380761037755316,0.06679911336231359
107,1777301450.9933882,0,-1.1383804365226045,-0.6699625476011345,2.799116531768151,0.008094821440843043,0.02891938334912808,-1.5707448334249954,0.0,0.0,1.0,-3.1,1.1383804365226045,0.6699625476011345,-1.799116531768151,-0.6699039276680289,1.1384149336426268,-1.5292551665750047,-0.2344663746838101,0.39844522677491934,-0.6,-1.2
